epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
159,265.45,0.74308,0.60121,0.8889,0.65668,0.77089,0.86569,0.75237,0.62031,0.47306,0.86347,0.00984358,0.00984358,0.00984358
160,267.003,0.7144,0.56832,0.88362,0.74515,0.673,0.85295,0.73485,0.6293,0.47202,0.8639,0.00984259,0.00984259,0.00984259
161,268.604,0.72652,0.59516,0.87614,0.72359,0.72272,0.85393,0.74208,0.64043,0.47992,0.86273,0.0098416,0.0098416,0.0098416
162,270.159,0.72107,0.59001,0.8868,0.67928,0.75486,0.85036,0.73677,0.63533,0.49822,0.86063,0.00984061,0.00984061,0.00984061
163,271.696,0.69395,0.57253,0.88429,0.69255,0.72498,0.84791,0.73877,0.65227,0.48359,0.86162,0.00983962,0.00983962,0.00983962
164,273.235,0.74877,0.60158,0.886,0.74568,0.69403,0.85287,0.74346,0.64411,0.4823,0.86008,0.00983863,0.00983863,0.00983863
165,274.825,0.71797,0.59083,0.89382,0.69598,0.77072,0.86618,0.76728,0.62704,0.47154,0.85589,0.00983764,0.00983764,0.00983764
166,276.56,0.71788,0.59127,0.91296,0.71445,0.75214,0.8455,0.74613,0.62964,0.49944,0.86227,0.00983665,0.00983665,0.00983665
167,278.12,0.72913,0.58312,0.90893,0.74379,0.75459,0.86626,0.76628,0.65036,0.48636,0.86191,0.00983566,0.00983566,0.00983566
168,279.673,0.7242,0.57187,0.90071,0.7298,0.7862,0.86233,0.75793,0.62073,0.46861,0.8533,0.00983467,0.00983467,0.00983467
169,281.253,0.75859,0.58406,0.8788,0.66212,0.76859,0.84106,0.74199,0.61991,0.46806,0.85239,0.00983368,0.00983368,0.00983368
170,282.837,0.73069,0.57889,0.8934,0.73473,0.72534,0.85851,0.74465,0.68295,0.48266,0.85987,0.00983269,0.00983269,0.00983269
171,284.422,0.70369,0.57124,0.8832,0.7427,0.72502,0.86106,0.75956,0.61309,0.46505,0.85095,0.0098317,0.0098317,0.0098317
172,285.97,0.71912,0.56809,0.88572,0.78063,0.72938,0.87198,0.76753,0.61724,0.46469,0.84912,0.00983071,0.00983071,0.00983071
173,287.505,0.74592,0.58429,0.89006,0.55935,0.92614,0.87694,0.76655,0.67331,0.4693,0.85831,0.00982972,0.00982972,0.00982972
174,289.051,0.69084,0.55371,0.88252,0.56621,0.95107,0.88061,0.77696,0.61954,0.47381,0.85124,0.00982873,0.00982873,0.00982873
175,290.667,0.72968,0.5692,0.89694,0.60928,0.88653,0.88168,0.76659,0.63228,0.46512,0.85032,0.00982774,0.00982774,0.00982774
176,292.307,0.69873,0.54094,0.88948,0.61441,0.91921,0.88136,0.76856,0.65904,0.47054,0.85583,0.00982675,0.00982675,0.00982675
177,293.826,0.67641,0.54853,0.8938,0.58392,0.93118,0.87005,0.76555,0.62337,0.46035,0.85279,0.00982576,0.00982576,0.00982576
178,295.343,0.71735,0.56691,0.88827,0.68587,0.82035,0.87231,0.77612,0.61573,0.45348,0.84779,0.00982477,0.00982477,0.00982477
179,296.899,0.69579,0.55464,0.87921,0.65453,0.87859,0.89018,0.77481,0.66163,0.45457,0.85605,0.00982378,0.00982378,0.00982378
180,298.47,0.70236,0.56067,0.88697,0.64128,0.92126,0.88358,0.78248,0.59976,0.45099,0.84604,0.00982279,0.00982279,0.00982279
